지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",롯데시네마 에비뉴엘 <2관>,198333.4709,451313.4129
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",롯데시네마 에비뉴엘 <3관>,198333.4709,451313.4129
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",롯데시네마 에비뉴엘 샤롯데관,198333.4709,451313.4129
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",롯데시네마 에비뉴엘 <1관>,198333.4709,451313.4129
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",롯데시네마 에비뉴엘 <5관>,198333.4709,451313.4129
서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),(주)써니트 롯데시네마 수유,202032.7576,459259.444
서울특별시 마포구 동교동 166-14 동교동 스타피카소,"서울특별시 마포구 양화로 176, 2관 8층 (동교동)",독립영화전용관 인디스페이스,193282.1308,450549.2802
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",CGV 방학 4관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",CGV 방학 6관,203799.8653,462533.4302
서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422 (역삼동),메가박스 씨티(강남대로)2관,202310.3114,444240.7983
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",CGV 방학 5관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",CGV 방학 4DX관,203799.8653,462533.4302
서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),(주)써니트 롯데시네마 수유,202032.7576,459259.444
서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),(주)쎄니트 수유지점 롯데시네마 수유 6관,202032.7576,459259.444
서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422 (역삼동),메가박스 씨티(강남대로)1관,202310.3114,444240.7983
서울특별시 종로구 신문로1가 226 흥국생명빌딩,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",씨네큐브광화문 2관,197482.2053,451938.3079
서울특별시 종로구 신문로1가 226 흥국생명빌딩,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",씨네큐브광화문 1관,197482.2053,451938.3079
서울특별시 영등포구 영등포동4가 442 타임스퀘어 4층,"서울특별시 영등포구 영중로 15, 4층 (영등포동4가, 타임스퀘어)",CGV 영등포 제7관,191385.0574,446098.5559
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(6관),210868.3975,442053.2279
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(1관),210868.3975,442053.2279
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(4관),210868.3975,442053.2279
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(3관),210868.3975,442053.2279
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 6관,,
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(2관),210868.3975,442053.2279
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 9관,,
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 컴포트1관,,
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 7관,,
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 8관,,
서울특별시 용산구 한강로3가 40-999,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",씨지브이 용산아이파크몰 제4관,196762.0774,447480.0396
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제6관,196370.7464,447841.6988
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주)상암월드컵경기장지점 Dolby Atmos관,,
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제2관,196370.7464,447841.6988
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제3관,196370.7464,447841.6988
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(8관),210868.3975,442053.2279
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(7관),210868.3975,442053.2279
서울특별시 송파구 문정동 618 204동 비162호,"서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)",메가박스 송파파크하비오점(5관),210868.3975,442053.2279
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점101(COMFORT),188884.0756,447186.8886
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점102(COMFORT),188884.0756,447186.8886
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점106(COMFORT),188884.0756,447186.8886
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점104(COMFORT),188884.0756,447186.8886
서울특별시 노원구 중계동 506-1,서울특별시 노원구 섬밭로 258 (중계동),CGV 하계 제4관,205645.892,459609.0125
서울특별시 서대문구 연희동 194-25,"서울특별시 서대문구 연희로8길 18, 지하1층동 (연희동)",라이카시네마 S관,193828.4361,451433.7896
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 더 부티크 스위트 104호,205130.5917,445590.0968
서울특별시 성북구 돈암동 538-98 아리랑시네센터및아리랑정보도서관,"서울특별시 성북구 아리랑로 82, 아리랑시네센터및아리랑정보도서관 (돈암동)",아리랑시네센터(제1관),201158.1367,455288.7654
서울특별시 성북구 돈암동 538-98 아리랑시네센터및아리랑정보도서관,"서울특별시 성북구 아리랑로 82, 아리랑시네센터및아리랑정보도서관 (돈암동)",아리랑시네센터(제1관),201158.1367,455288.7654
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),메가박스중앙(주) 상봉지점 3관,206526.0022,454549.1674
서울특별시 성북구 돈암동 538-98,서울특별시 성북구 아리랑로 82 (돈암동),아리랑시네센터 제2관,201158.1367,455288.7654
서울특별시 노원구 상계동 1132-35 3층~9층,"서울특별시 노원구 동일로 1660, 3층~9층 (상계동, 롯데시네마 수락산)",롯데시네마 노원수락산역 제2관,204839.9779,463796.3812
서울특별시 종로구 돈의동 137 지하4층,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",CGV 피카디리1958 6관,199155.5449,452083.1255
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제6관,205985.9533,459730.4378
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제5관,205985.9533,459730.4378
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제1관,196370.7464,447841.6988
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제4관,196370.7464,447841.6988
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",롯데시네마 용산 제5관,196370.7464,447841.6988
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제9관),205320.2848,461419.8818
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제2관,205985.9533,459730.4378
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제3관),205320.2848,461419.8818
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제1관,205985.9533,459730.4378
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",롯데시네마 서울대입구제3관,195703.0437,442094.0858
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",롯데시네마 서울대입구제4관,195703.0437,442094.0858
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",CGV 방학 2관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",CGV 방학 7관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",CGV 방학 3관,203799.8653,462533.4302
